scientific_name	strain	gcf_accession	refseq_category	phylum	class	order	family	genus	species	habitat	oxygen_requirement	gut_flag	pathogenicity
Agrilactobacillus fermenti	POM1	GCF_047943045.1	reference genome	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Agrilactobacillus	Agrilactobacillus fermenti	human gut/dairy	facultative_anaerobe	gut_dominant	non_pathogenic
Agrilutibacter solisilvae	R19	GCF_016613535.2	reference genome	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Lysobacteraceae	Agrilutibacter	Agrilutibacter solisilvae	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Agrobacterium fabrum str. C58	C58	GCF_000092025.1	reference genome	Pseudomonadota	Alphaproteobacteria	Hyphomicrobiales	Rhizobiaceae	Agrobacterium	Agrobacterium fabrum	soil/rhizosphere	aerobe	non_gut	pathogen (plant)
Agrococcus chionoecetis	ProA11	GCF_039880525.1	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Agrococcus	Agrococcus chionoecetis	soil/clinical	aerobe	non_gut	non_pathogenic
Agromyces protaetiae	FW100M-8	GCF_004135405.1	reference genome	Actinomycetota	Actinomycetes	Micrococcales	Microbacteriaceae	Agromyces	Agromyces protaetiae	soil/clinical	aerobe	non_gut	non_pathogenic
Ahniella affigens	D13	GCF_003015185.1	reference genome	Pseudomonadota	Gammaproteobacteria	Lysobacterales	Rhodanobacteraceae	Ahniella	Ahniella affigens	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Akkermansia biwaensis	WON2089	GCF_026072915.1	reference genome	Verrucomicrobiota	Verrucomicrobiia	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia biwaensis	human gut	anaerobe	gut_dominant	non_pathogenic
Alcaligenes ammonioxydans	HO-1	GCF_019343455.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Alcaligenes	Alcaligenes ammonioxydans	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Alcanivorax borkumensis SK2	SK2	GCF_000009365.1	reference genome	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	Alcanivorax borkumensis	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Algibacter luteus	HNIBRBA226	GCF_030344935.1	reference genome	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Algibacter	Algibacter luteus	freshwater/marine/clinical	aerobe	non_gut	non_pathogenic
Algicella marina	9Alg 56	GCF_009931615.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Algicella	Algicella marina	soil/water	aerobe	non_gut	non_pathogenic
Algirhabdus cladophorae	KMM 6494	GCF_044772865.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Algirhabdus	Algirhabdus cladophorae	soil/water	aerobe	non_gut	non_pathogenic
Algoriphagus halophytocola	TR-M5	GCF_026013705.1	reference genome	Bacteroidota	Cytophagia	Cytophagales	Cyclobacteriaceae	Algoriphagus	Algoriphagus halophytocola	soil	aerobe	non_gut	non_pathogenic
Aliamphritea ceti	KCTC 42154	GCF_024347215.1	reference genome	Pseudomonadota	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Aliamphritea	Aliamphritea ceti	soil/water/clinical	facultative_anaerobe	non_gut	opportunistic_pathogen
Aliarcobacter butzleri RM4018	RM4018	GCF_000014025.1	reference genome	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	Aliarcobacter	Aliarcobacter butzleri	animal/human gut	microaerophile	gut_associated	pathogen (human)
Alicycliphilus denitrificans K601	K601	GCF_000204645.1	reference genome	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Alicycliphilus	Alicycliphilus denitrificans	soil/clinical	aerobe	non_gut	opportunistic_pathogen
Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	DSM 446	GCF_000024285.1	reference genome	Bacillota	Bacilli	Bacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus acidocaldarius	soil	aerobe	non_gut	non_pathogenic
Aliiphycobium algicola	G2-2	GCF_034555965.2	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Aliiphycobium	Aliiphycobium algicola	soil/water	aerobe	non_gut	non_pathogenic
Aliiroseovarius crassostreae	S044	GCF_025137635.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Paracoccaceae	Aliiroseovarius	Aliiroseovarius crassostreae	soil/water	aerobe	non_gut	non_pathogenic
Aliisedimentitalea scapharcae	KCTC 42119	GCF_045277565.1	reference genome	Pseudomonadota	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Aliisedimentitalea	Aliisedimentitalea scapharcae	soil/water	aerobe	non_gut	non_pathogenic
Aliivibrio fischeri ES114	ES114	GCF_000011805.1	reference genome	Pseudomonadota	Gammaproteobacteria	Vibrionales	Vibrionaceae	Aliivibrio	Aliivibrio fischeri	marine	facultative_anaerobe	non_gut	non_pathogenic
